BEGIN MOTOR   .AMP 
NR   NAME                            I-MAX    I-N      U-IMAX
0    6SN1123-1AA00-0AA0-1FT6         10       5        5,59
1    6SN1123-1AA00-0AA1-1FT6         10       5        5,59    
2    6SN1123-1AA00-0BA0-1FT6         18       9        5,59
3    6SN1123-1AA00-0BA0-1PH          16       8        4,96
4    6SN1123-1AA00-0BA1-1FT6         18       9        5,59                    
5    6SN1123-1AA00-0BA1-1PH          16       8        4,96    
6    6SN1123-1AA00-0CA0-1FT6         36       18       5,59
7    6SN1123-1AA00-0CA0-1PH          32       24       4,96
8    6SN1123-1AA00-0CA1-1FT6         36       18       5,59    
9    6SN1123-1AA00-0CA1-1PH          32       24       4,96    
10   6SN1123-1AA00-0DA0-1FT6         56       28       5,59
11   6SN1123-1AA00-0DA0-1PH          51       30       5,08
12   6SN1123-1AA00-0DA1-1FT6         56       28       5,59    
13   6SN1123-1AA00-0DA1-1PH          51       30       5,08    
14   6SN1123-1AA00-0EA0-1FT6         112      56       5,59
15   6SN1123-1AA00-0EA0-1PH          102      60       5,08
16   6SN1123-1AA00-0EA1-1FT6         112      56       5,59    
17   6SN1123-1AA00-0EA1-1PH          102      60       5,08    
18   6SN1123-1AA00-0GA0-1PH          76       45       3,793   
19   6SN1123-1AA00-0HA0-1FT6         6        3        5,59
20   6SN1123-1AA00-0HA1-1FT6         6        3        5,59    
21   6SN1123-1AA00-0JA0-1PH          193      120      5,59
22   6SN1123-1AA00-0JA1-1PH          193      120      5,59    
23   6SN1123-1AA00-0KA0-1PH          257      200      5,59
24   6SN1123-1AA00-0KA1-1PH          257      200      5,59    
25   6SN1123-1AA00-0LA0-1PH          76       45       5       
26   6SN1123-1AA00-0LA1-1PH          76       45       5       
27   6SN1123-1AA01-0FA0-1FT6         140      70       5,59
28   6SN1123-1AA01-0FA0-1PH          127      85       5,06
29   6SN1123-1AA01-0FA1-1FT6         140      70       5,59    
30   6SN1123-1AA01-0FA1-1PH          127      85       5,06    
31   6SN1123-1AB00-0AA0-1FT6         10       5        5,59
32   6SN1123-1AB00-0AA1-1FT6         10       5        5,59        
33   6SN1123-1AB00-0BA0-1FT6         18       9        5,59
34   6SN1123-1AB00-0BA1-1FT6         18       9        5,59    
35   6SN1123-1AB00-0CA0-1FT6         36       18       5,59
36   6SN1123-1AB00-0CA1-1FT6         36       18       5,59    
37   6SN1123-1AB00-0HA0-1FT6         6        3        5,59
38   6SN1123-1AB00-0HA1-1FT6         6        3        5,59    
39   BSC1010-704                     20       10       5,59
40   BSC1015-700                     30       15       5,59
41   HDD12.2-W040N                   28,3     10,6     5,66         
42   HDS12.2-W040N                   28,3     14,2     5,66    
43   HDS13.2-W075N                   53       28,3     5,66     
44   HDS13.2-W100N                   70,7     35,4     5,66       
45   HDS14.2-W200N                   141,4    84,9     5,66  
46   HEIDENHAIN-14A-QSY              28,5     14       5,66
47   HEIDENHAIN-15A-QSY              30       15       5,66     
48   HEIDENHAIN-19A-QAN              28,5     19       5,66
49   HEIDENHAIN-20A-QAN              30       20       5,66     
50   HEIDENHAIN-23A-QSY              46       23       5,66    
51   HEIDENHAIN-31A-QAN              46       31       5,66    
52   HEIDENHAIN-32A-QSY              64       32       5,66    
53   HEIDENHAIN-50A-QAN              64       50       5,66    
54   HEIDENHAIN-7,5A-QSY             15       7,5      5,66   
55   HEIDENHAIN-UM113-32A-QSY        64       32       5,66    
56   HEIDENHAIN-UM113-50A-QAN        64       50       5,66    
57   HEIDENHAIN-UM114-48A-QSY        96       48       5,66     
58   HEIDENHAIN-UM114-75A-QAN        96       75       5,66     
59   HEIDENHAIN-UM1x1-7,5A-QSY       15       7,5      5,66    
60   HEIDENHAIN-UM1x1B-15A-QSY       30       15       5,66     
61   HEIDENHAIN-UM1x1B-20A-QAN       30       20       5,66    
62   HEIDENHAIN-UM1x2-23A-QSY        46       23       5,66    
63   HEIDENHAIN-UM1x2-31A-QAN        46       31       5,66    
64   SPG-ASYNCHRON-(ASM,SPINDLE)     0,707    0,495    5,303   
65   SPG-SYNCHRON-(SM)               0,7      0,5      5       
66   ***
[END]
BEGIN MOTOR   .SN 
NR   NAME                            I-N      N-N    N-MAX  PZ STR  DIRECT. T-MAX I-MAX  M-CON U-CON 
49   1FT6086-8SF7                    24,5     3000   4440   4  2048 +       150   80,28  1,33  85   
50   1FT6086-8SK7                    29       6000   6300   4  2048 +       150   137,52 0,77  50   
51   1FT6102-1AC7                    11,0     2000   2900   4  2048 +       150   41,6   2,19  137
52   1FT6102-8AB7                    8,4      1500   2050   4  2048 +       150   29,6   3,03  191
53   1FT6102-8AC7                    11       2000   2900   4  2048 +       150   40,8   2,19  137  
54   1FT6102-8AF7                    13,2     3000   4100   4  2048 +       150   56,8   1,58  99
55   1FT6102-8AH7                    12       4500   5300   4  2048 +       150   82,4   1,09  71   
56   1FT6105-1AC7                    17,6     2000   2750   4  2048 +       150   73,6   2,25  143
57   1FT6105-8AB7                    14,5     1500   2300   4  2048 +       150   55,2   3,0   189
58   1FT6105-8AC7                    17,6     2000   2750   4  2048 +       150   73,6   2,25  143  
59   1FT6105-8AF7                    22,5     3000   4100   4  2048 +       150   110,8  1,5   96
60   1FT6105-8SF7                    35       3000   4040   4  2048 +       150   140    1,43  98   
61   1FT6108-8AB7                    20,5     1500   2000   4  2048 +       150   74     3,14  198  
62   1FT6108-8AC7                    24,5     2000   2600   4  2048 +       150   96,0   2,42  153
63   1FT6108-8SC7                    40       2000   2850   4  2048 +       150   148    2,05  139       
64   1FT6132-6AB7                    19       1500   1850   3  2048 +       150   74     3,26  210  
65   1FT6132-6AC7                    23       2000   2500   3  2048 +       150   100    2,5   158  
66   1FT6132-6AF7                    23       3000   3500   3  2048 +       150   148    1,67  105  
67   1FT6132-6SC7                    46       2000   2930   3  2048 +       150   204    2,16  135   
68   1FT6134-6AB7                    24       1500   1900   3  2048 +       150   384    3,26  208  
69   1FT6134-6SC7                    57       2000   2770   3  2048 +       150   248    2,25  143   
70   1FT6136-6AB7                    27       1500   1800   3  2048 +       150   136    3,38  214  
71   1FT6136-6AC7                    30       2000   2350   3  2048 +       150   146    2,61  166  
72   BLS-112                         5        3000   4000   4  2048 +       135   15     0,8   52      
73   BLS-113                         7,5      3300   6600   4  2048 +       135   22,5   0,8   52      
74   BLS-72                          3,78     6000   11000  4  2048 +       135   11,3   0,5   27      
75   BLS-73                          3,04     3800   7800   4  2048 +       135   9,1    0,7   43      
76   BSM80A-375-AX-701               4,9      4000   7000   2  2048 +       150   22,9   0,83  75
77   BSM90A-275-AX-701               11,3     4000   4500   4  2048 +       150   50,4   0,79  75
78   DSM4-05.1                       0,9      6000   9000   3  512  +       145   5,0    0,4   28 
79   MHP071B-061                     6,7      3000   6000   4  2048 +       155   34,7   1,14  70   
80   MHP090B-035                     6,8      3000   5000   4  2048 +       155   34,7   1,8   111       
81   MHP093B-035                     7,5      2500   6000   4  2048 +       155   39,6   2,2   136  
82   MHP093B-058                     11,8     2000   6000   4  2048 +       155   67,5   1,28  79
83   MHP093C-058                     15,4     2000   6000   4  2048 +       155   85,1   1,34  83 
84   MHP112B-024-HG0-BN              11       2000   4500   4  2048 +       150   69,7   2,11  130
85   MHP112B-024-HG1-BN              11       2000   4500   4  2048 +       150   69,7   2,11  130  
86   MHP112C-024-HG0-BN              12,9     2000   4000   4  2048 +       150   84,6   2,36  146
87   MHP112C-024-HG1-BN              12,9     2000   4000   4  2048 +       150   84,6   2,36  146
88   MHP112D-027                     18,9     2000   3000   4  2048 +       155   99,9   2,51  155  
89   MHP115C-058                     14,9     1000   6000   4  2048 +       155   245,7  1,41  86     
90   QSY041B                         2,8      3000   5000   3  2048 +       150   13,5   1,01  66 
91   QSY071B                         7,2      3000   4500   4  2048 +       150   28,3   0,97  88   
92   QSY090B-2000                    6        2000   3000   4  2048 +       150   30     2     127  
93   QSY090B-3000                    6,6      3000   4000   4  2048 +       150   42     1,4   91   
94   QSY093B                         4,7      3000   3800   4  2048 +       150   51     1,65  102  
95   QSY096A                         1,1      4500   6000   3  2048 +       150   8,9    1,03  62        
96   QSY096G                         3,3      4500   6000   3  2048 +       150   20     1,01  63   
97   QSY0E                           2,2      6000   6000   2  2048 +       140   11,31  0,75  45   
98   QSY11                           2,4      3000   3300   3  2048 +       145   7,8    1,3   83
99   QSY112B                         5,4      3000   4000   4  2048 +       150   113,5  1,2   79   
100  QSY112C                         8,5      3000   4000   4  2048 +       150   115    1,4   105   
101  QSY112D                         23,4     2000   2500   4  2048 +       150   100    2,4   155
102  QSY116C                         3,3      3000   5400   3  2048 +       150   10,6   1,51  94      
103  QSY116E                         4,1      3000   5400   3  2048 +       150   16,4   1,57  97      
104  QSY116E-2000                    3,3      2000   3900   3  2048 +       150   14     2     127       
105  QSY116J                         5,35     3000   5400   3  2048 +       150   26,8   1,43  99      
106  QSY12                           3,1      3000   3300   3  2048 +       145   11,7   1,4   85
107  QSY13                           3,8      3000   3300   3  2048 +       145   15,3   1,46  85
108  QSY14                           4,4      3000   3300   3  2048 +       145   19,2   1,5   86
109  QSY155A                         5,1      3000   5000   4  2048 +       150   17,7   1,5   92        
110  QSY155B                         6,9      3000   5000   4  2048 +       150   26,9   1,5   92        
111  QSY155D                         10,6     3000   5000   4  2048 +       150   44,6   1,5   92        
112  QSY155F                         12       3000   5000   4  2048 +       150   62     1,5   92        
113  QSY1A-3000                      2,2      3000   5400   3  2048 +       150   8,56   1,53  92   
114  QSY1C-3000                      3,6      3000   5400   3  2048 +       150   16,97  1,53  92   
115  QSY1E-3000                      5,2      3000   5400   3  2048 +       150   25,46  1,53  92   
116  QSY21                           4,5      3000   3300   3  2048 +       145   14,5   1,44  94
117  QSY22                           4,4      2000   2200   3  2048 +       145   12     2,5   145
118  QSY23                           6,1      2000   2200   3  2048 +       145   18,2   2,12  141
119  QSY24                           7,5      2000   2200   3  2048 +       145   22,5   2,27  148
120  QSY2C-3000                      5,9      3000   5400   3  2048 +       150   24,75  1,53  92   
121  QSY2E-2000                      6,8      2000   3900   3  2048 +       150   26,87  2,1   127  
122  QSY2E-3000                      8,3      3000   5400   3  2048 +       150   37,48  1,53  92   
123  QSY2G-2000                      8,6      2000   3900   3  2048 +       150   35,36  2,1   127  
124  QSY2G-3000                      10,6     3000   5400   3  2048 +       150   49,5   1,53  92   
125  QSY2J                           9,5      2000   3900   3  2048 +       140   45,25  2,1   127  
126  QSY524                          2,4      2000   2000   4  2048 +       150   11,5   2,3   144  
127  QSY526                          4,2      2000   2000   4  2048 +       150   21,6   2,5   150  
128  QSY526-3000                     4,6      3000   3600   4  2048 +       150   23,6   2     115
129  QSY526-3000-2x                  5,6      3000   4000   4  2048 +       150   33,6   1,65  100       
130  QSY722                          6,3      2000   2400   4  2048 +       150   28     2,5   162  
131  QSY724                          9,4      2000   2400   4  2048 +       150   42,2   2,4   160  
132  SPG-SYNCHRON-(SM)               0,5      2000   3000   1  2048 +       255   0,6    0     0    
133  ***
[END]
BEGIN MOTOR   .ASN 
NR   NAME                            Y/D I-N      U-N  N-N    F-N   U0   I0       R1     R2     X1     X2     XH     N-XH   N-FS   N-MAX  %-XH %-K PZ TK     STR   DIRECT. T-MAX I-MAX    P-N    J     L
0    1PH2095-6WF4                    Y   34,7     355  1500   78,6  321  17,4     281    241    914    1011   10180  2500   1889   10000  147  100 3  0,0037 256   +       150   55,52    10100  0,036 0      
1    1PH2118-6WF4-12000              Y   78,9     260  1500   77,4  240  32,8     57     41     338    361    4010   3200   2450   12000  133  100 3  0,0037 256   +       150   126,24   23000  0,1   0
2    1PH2123-4WF4                    Y   54,5     173  1500   51,5  160  21,1     64     38     209    259    4250   4600   3770   16000  116  100 2  0,0037 256   +       150   87,2     11500  0,044 0     
3    1PH2188-6WB4                    Y   78       255  500    26,8  241  38       96     99     139    190    3510   1305   870    6000   160  82  3  0,0037 256   +       150   124,8    23600  0,55  0    
4    1PH4107-4ZF2                    Y   45       265  1500   53,1  234  19       149    138    346    465    7400   3100   2345   9000   113  100 4  0,0037 256   +       150   81       14000  0,031 0              
5    1PH4135-4NF2                    Y   70,7     251  1500   51,7  231  25,5     65     46     236    301    4800   3200   2460   8000   129  100 2  0,0037 2048  +       150   113,12   22000  0,071 0              
6    1PH4138-4NF2                    Y   97,3     244  1500   51,6  226  33,8     41     31     168    215    3630   3200   2500   8000   123  100 2  0,0037 2048  +       150   155,68   30000  0,097 0        
7    1PH6101-4NF4                    Y   12,5     268  1500   53    235  6,2      735    510    1187   1608   22870  3100   2375   9000   109  100 2  0,0037 2048  +       150   20       3700   0,011 0
8    1PH6103-1NF4                    Y   17,9     274  1500   52,7  244  9,1      426    329    800    1070   16320  3100   2300   9000   111  100 2  0,0037 2048  +       150   28,64    5500   0,017 0
9    1PH6103-4NF4-L37                Y   19       263  1500   52,7  244  9,9      426    329    800    1070   14200  3100   2300   12000  111  100 2  0,0037 2048  +       150   28,64    5500   0,017 0
10   1PH6103-4NG4                    Y   19,4     315  2000   69,3  289  9,9      341    267    863    1158   17690  3300   2600   9000   109  100 2  0,0037 2048  +       150   31       7000   0,017 0
11   1PH6105-4NF4                    Y   22,5     291  1500   52,5  263  11,5     306    257    653    895    13900  2900   2050   9000   109  100 2  0,0037 2048  +       150   36       7500   0,024 0
12   1PH6107-1NF4                    Y   26,7     301  1500   52    278  15,1     215    199    503    764    10850  2600   1987   9000   113  90  2  0,0037 2048  +       145   42,72    9000   0,031 0     
13   1PH6107-4NC4                    Y   22,1     210  750    27,2  178  11,8     350    325    433    600    9360   2200   1550   9000   112  90  2  0,0037 2048  +       145   39       5000   0,031 0
14   1PH6107-4NC4                    D   38,3     121  750    27,2  103  20,4     117    108    144    200    3120   2200   1650   9000   112  90  2  0,0037 2048  +       145   67,6     5000   0,031 0
15   1PH6107-4NF4                    Y   26,7     301  1500   52    278  15,1     215    199    503    764    10850  2600   1987   9000   113  90  2  0,0037 2048  +       145   44       9000   0,031 0
16   1PH6107-4NF4                    D   46,2     174  1500   52    161  26,1     72     66     168    255    3620   2600   1987   9000   113  90  2  0,0037 2048  +       145   76,2     9000   0,031 0
17   1PH6107-4NF4-L37                Y   26,9     293  1500   52,2  268  14,2     223    199    522    743    11390  2800   2050   12000  108  100 2  0,0037 2048  +       145   43,04    9000   0,031 0 
18   1PH6107-4NG4                    Y   29,8     333  2000   68,9  311  15,6     174    157    551    785    12090  3000   2400   9000   106  100 2  0,0037 2048  +       150   47,7     11500  0,031 0
19   1PH6133-4NF0                    Y   26,7     327  1500   51,3  306  11,5     220    131    745    916    15380  2500   1800   8000   122  100 2  0,0037 2048  +       150   42,7     11000  0,046 0
20   1PH6133-4NF4                    Y   35       341  1500   51,1  323  16,1     138    93     536    693    11610  2500   1800   8000   122  100 2  0,0037 2048  +       150   56       15000  0,071 0
21   1PH6135-1NF0                    Y   35,0     341  1500   51,1  323  16,1     138    93     536    693    11610  2500   1800   8000   122  100 2  0,0037 2048  +       150   56,0     15000  0,071 0
22   1PH6135-1NF4                    Y   41,3     289  1500   51,1  273  18,7     95     67     388    504    8460   2600   1984   8000   122  90  2  0,0037 2048  +       150   66,08    15000  0,071 0
23   1PH6135-4NG4                    Y   50,6     314  2000   67,9  299  22,8     67     46     352    452    7650   3200   2575   8000   120  100 2  0,0037 2048  +       150   80,96    20000  0,071 0        
24   1PH6137-4NF4                    Y   50,2     293  1500   51,1  277  22,9     76     55     319    415    7050   2600   2025   8000   120  100 2  0,0037 2048  +       150   80,32    18500  0,085 0
25   1PH6138-1NF0                    Y   51,5     341  1500   51    326  24,6     76     58     340    457    7670   2400   1750   8000   122  100 2  0,0037 2048  +       150   82,4     22000  0,104 0    
26   1PH6138-4NG4                    Y   66,1     341  2000   67,7  328  31,4     45     34     274    364    6230   3100   2400   8000   116  100 2  0,0037 2048  +       150   105,76   28000  0,101 0    
27   1PH6163-4NF4                    Y   86       277  1500   50,9  263  40,3     41     23     185    201    3760   3000   2275   6500   138  100 2  0,0037 2048  +       150   137,6    30000  0,170 0     
28   1PH6167-4NB4                    Y   78,0     160  500    17,6  139  34,4     74     43     115    130    2290   2100   1450   6500   149  100 2  0,0037 2048  +       150   124,8    14500  0,206 0              
29   1PH6167-4NF0                    Y   79,6     364  1500   50,9  346  36,3     55     32     264    286    5480   2300   1650   6500   138  100 2  0,0037 2048  +       150   127,36   37000  0,206 0    
30   1PH6167-4NF4                    Y   95,7     303  1500   50,9  288  43,5     38     22     184    199    3820   2800   2025   6500   138  100 2  0,0037 2048  +       150   153,12   37000  0,206 0
31   1PH6167-4NG4                    Y   91,0     390  2000   67,5  375  41,0     38     22     253    271    5360   2800   2150   6500   129  100 2  0,0037 2048  +       125   145,6    45000  0,206 0
32   1PH6168-4NZ0                    Y   83       407  1750   59,2  388  31,7     49     30     324    335    7160   2300   1750   6500   120  100 2  0,0037 2048  +       150   132,8    45000  0,224 0     
33   1PH6186-4NF4                    Y   100      380  1500   52    371  52       45     27     128    156    4000   2445   1630   5000   130  100 2  0,0037 2048  +       155   160      50000  0,31  0        
34   1PH7101-2NF0                    Y   9,8      350  1500   51,6  323  5,9      813    531    1226   2382   31900  2400   1700   9000   113  100 2  0,0037 2048  +       150   15,68    3700   0,017 0     
35   1PH7103-2NG0                    Y   17,1     343  2000   69,9  315  8,3      422    281    859    1458   22300  3000   2300   9000   114  100 2  0,0037 2048  +       150   27,36    7000   0,017 0     
36   1PH7105-2NF0                    Y   17,4     346  1500   51,7  321  9,4      376    287    701    1352   20000  2400   1725   9000   110  100 2  0,0037 2048  +       150   27,84    7000   0,029 0     
37   1PH7107-2NF0                    Y   22,5     336  1500   52    306  11       321    245    582    1056   16300  2300   1700   9000   116  100 2  0,0037 2048  +       155   36       9000   0,029 0    
38   1PH7131-2NF0                    Y   23,1     350  1500   51,3  328  8,4      216    148    581    991    23260  2300   1630   8000   106  100 2  0,0037 2048  +       150   36,96    11000  0,076 0     
39   1PH7133-2ND0                    Y   28       336  1000   34,8  304  12,7     286    193    449    659    15300  1800   1180   8000   142  100 2  0,0037 2048  +       150   44,8     12000  0,076 0     
40   1PH7133-2NG0                    Y   43       350  2000   68    332  17,4     98     66     314    491    11500  2900   2250   8000   125  100 2  0,0037 2048  +       150   68,8     20000  0,109 0     
41   1PH7137-2NG0                    Y   58,6     350  2000   68    333  21,4     60     46     230    369    9500   2900   2250   8000   115  100 2  0,0037 2048  +       150   93,76    28000  0,109 0    
42   1PH7137-2ND0                    Y   40,7     322  1000   34,6  296  18,5     154    118    274    423    10200  1800   1160   8000   140  100 2  0,0037 2048  +       150   65,12    17000  0,109 0    
43   1PH7163-2ND0                    Y   52,7     315  1000   34,2  296  24,1     89     62     210    297    7600   1900   1230   6500   130  100 2  0,0037 2048  +       150   84,32    22000  0,19  0     
44   1PH7163-2NF0                    Y   70,3     319  1500   50,9  305  30,1     46     31     162    246    6000   2600   1950   6500   125  100 2  0,0037 2048  +       150   112,48   30000  0,19  0     
45   1PH7167-2NF0                    Y   77,8     350  1500   50,8  335  31,9     41     30     159    245    6200   2400   1700   6500   122  100 2  0,0037 2048  +       150   124,48   37000  0,23  0     
46   1PH7167-2NF4                    Y   77,8     350  1500   50,8  335  31,9     41     30     159    244    6160   2400   1700   6500   122  100 2  0,0037 1024  +       150   124,48   37000  0,230 0
